name,id,tier,rarity,character,pool,description,notes
Miniature Tent,MINIATURE_TENT,A,Shop Relic,Shared,shared,You may choose any number of options at [gold]Rest Sites[/gold].,All rest site options. Incredible flexibility.
Molten Egg,MOLTEN_EGG,B,Rare Relic,Shared,shared,"Whenever you add an Attack card to your [gold]Deck[/gold], [gold]Upgrade[/gold] it.",Standard relic. Evaluate based on deck needs.
Mr. Struggles,MR_STRUGGLES,B,Event Relic,Shared,shared,"At the start of your turn, deal damage equal to the turn number to ALL enemies.",Standard relic. Evaluate based on deck needs.
Mummified Hand,MUMMIFIED_HAND,S,Rare Relic,Shared,shared,"Whenever you play a Power, a random card in your [gold]Hand[/gold] is free to play that turn.","Play a Power, random card costs 0. Explosive in Power-heavy decks."
Music Box,MUSIC_BOX,B,Ancient Relic,Shared,shared,Create an [gold]Ethereal[/gold] copy of the first Attack you play each turn.,Standard relic. Evaluate based on deck needs.
Mystic Lighter,MYSTIC_LIGHTER,B,Shop Relic,Shared,shared,[gold]Enchanted[/gold] Attacks deal [blue]9[/blue] additional damage.,Standard relic. Evaluate based on deck needs.
Neow's Torment,NEOWS_TORMENT,B,Ancient Relic,Shared,shared,"Upon pickup, add [blue]1[/blue] [gold]Neow's Fury[/gold] to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
New Leaf,NEW_LEAF,B,Ancient Relic,Shared,shared,"Upon pickup, [gold]Transform[/gold] [blue]1[/blue] card.",Standard relic. Evaluate based on deck needs.
Ninja Scroll,NINJA_SCROLL,B,Shop Relic,Shared,silent,"At the start of each combat, add [blue]3[/blue] [gold]Shivs[/gold] into your [gold]Hand[/gold].",3 Shivs at combat start. Shiv build only.
Nunchaku,NUNCHAKU,B,Uncommon Relic,Shared,shared,"Every time you play [blue]10[/blue] Attacks, gain [energy:1].",Standard relic. Evaluate based on deck needs.
Nutritious Oyster,NUTRITIOUS_OYSTER,B,Ancient Relic,Shared,shared,"Upon pickup, raise your Max HP by [blue]11[/blue].",Standard relic. Evaluate based on deck needs.
Nutritious Soup,NUTRITIOUS_SOUP,B,Ancient Relic,Shared,shared,"Upon pickup, [gold]Enchant[/gold] all [gold]Strikes[/gold] in your [gold]Deck[/gold] with [purple]Tezcatara's Ember[/purple].",Standard relic. Evaluate based on deck needs.
Oddly Smooth Stone,ODDLY_SMOOTH_STONE,B,Common Relic,Shared,shared,Start each combat with [blue]1[/blue] [gold]Dexterity[/gold].,+1 Dexterity. Simple defensive boost.
Old Coin,OLD_COIN,B,Rare Relic,Shared,shared,"Upon pickup, gain [blue]300[/blue] [gold]Gold[/gold].",+300 Gold on pickup. Shop power.
Orange Dough,ORANGE_DOUGH,B,Rare Relic,Shared,regent,"At the start of each combat, add [blue]2[/blue] random Colorless cards into your [gold]Hand[/gold].",2 random Colorless turn 1. Random but adds pressure.
Orichalcum,ORICHALCUM,B,Uncommon Relic,Shared,shared,"If you end your turn without [gold]Block[/gold], gain [blue]6[/blue] [gold]Block[/gold].",Standard relic. Evaluate based on deck needs.
Orichalcum???,FAKE_ORICHALCUM,B,Event Relic,Shared,shared,"If you end your turn without [gold]Block[/gold], gain [blue]3[/blue] [gold]Block[/gold].",Standard relic. Evaluate based on deck needs.
Ornamental Fan,ORNAMENTAL_FAN,A,Uncommon Relic,Shared,shared,"Every time you play [blue]3[/blue] Attacks in a single turn, gain [blue]4[/blue] [gold]Block[/gold].","After 3 attacks, gain 4 Block. Rewards attack-heavy plays."
Orrery,ORRERY,S,Shop Relic,Shared,shared,"Upon pickup, gain [blue]5[/blue] card rewards.",5 card rewards on pickup. Massive deck building spike.
Pael's Blood,PAELS_BLOOD,B,Ancient Relic,Shared,shared,"At the start of your turn, draw [blue]1[/blue] additional card.",Standard relic. Evaluate based on deck needs.
Pael's Claw,PAELS_CLAW,B,Ancient Relic,Shared,shared,"Upon pickup, [gold]Enchant[/gold] all [gold]Defends[/gold] with [purple][EnchantmentName][/purple].",Standard relic. Evaluate based on deck needs.
Pael's Eye,PAELS_EYE,B,Ancient Relic,Shared,shared,"The first time each combat you end your turn without playing cards, [gold]Exhaust[/gold] your [gold]Hand[/gold], and take an extra turn.",Standard relic. Evaluate based on deck needs.
Pael's Flesh,PAELS_FLESH,B,Ancient Relic,Shared,shared,"Gain an additional [energy:1] at the start of your [blue]3rd[/blue] turn, and every turn after that.",Standard relic. Evaluate based on deck needs.
Pael's Growth,PAELS_GROWTH,B,Ancient Relic,Shared,shared,"Upon pickup, [gold]Enchant[/gold] a card with [purple][EnchantmentName][/purple].",Standard relic. Evaluate based on deck needs.
Pael's Horn,PAELS_HORN,B,Ancient Relic,Shared,shared,"Upon pickup, add [blue]2[/blue] [gold]Relax[/gold] to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Pael's Legion,PAELS_LEGION,B,Ancient Relic,Shared,shared,"Doubles [gold]Block[/gold] gained from a card, then goes to sleep for [blue]2[/blue] turns.",Standard relic. Evaluate based on deck needs.
Pael's Tears,PAELS_TEARS,B,Ancient Relic,Shared,shared,"If you end your turn with unspent [energy:1], gain an additional [energy:2] next turn.",Standard relic. Evaluate based on deck needs.
Pael's Tooth,PAELS_TOOTH,B,Ancient Relic,Shared,shared,"Upon pickup, remove [blue]5[/blue] cards from your [gold]Deck[/gold]. After each combat, randomly add [blue]1[/blue] back [gold]Upgraded[/gold].",Standard relic. Evaluate based on deck needs.
Pael's Wing,PAELS_WING,B,Ancient Relic,Shared,shared,"You may sacrifice card rewards to Pael. Every [blue]2[/blue] sacrifices, obtain a [gold]Relic[/gold].",Standard relic. Evaluate based on deck needs.
Pandora's Box,PANDORAS_BOX,A,Ancient Relic,Shared,shared,[gold]Transform[/gold] ALL [gold]Strikes[/gold] and [gold]Defends[/gold].,Transform all Strikes/Defends. High variance.
Pantograph,PANTOGRAPH,B,Uncommon Relic,Shared,shared,"At the start of each [gold]Boss[/gold] combat, heal [green]25[/green] HP.",Standard relic. Evaluate based on deck needs.
Paper Krane,PAPER_KRANE,A,Rare Relic,Shared,silent,Enemies with [gold]Weak[/gold] deal [blue]40%[/blue] less damage to you rather than [blue]25%[/blue].,Weak enemies deal 40% less. Huge damage reduction.
Paper Phrog,PAPER_PHROG,A,Uncommon Relic,Shared,ironclad,Enemies with [gold]Vulnerable[/gold] take [blue]75%[/blue] more damage rather than [blue]50%[/blue].,Vulnerable = 75% more damage. Big multiplier.
Parrying Shield,PARRYING_SHIELD,B,Uncommon Relic,Shared,shared,"If you end a turn with at least [blue]10[/blue] [gold]Block[/gold], deal [blue]6[/blue] damage to a random enemy.",Standard relic. Evaluate based on deck needs.
Pear,PEAR,B,Uncommon Relic,Shared,shared,"Upon pickup, raise your Max HP by [blue]10[/blue].",Max HP +10 on pickup. Simple HP boost.
Pen Nib,PEN_NIB,A,Uncommon Relic,Shared,shared,Every [blue]10th[/blue] Attack you play deals double damage.,Every 10th attack = 2x damage. Good for all.
Pendulum,PENDULUM,B,Common Relic,Shared,shared,"Whenever you shuffle your [gold]Draw Pile[/gold], draw a card.",Standard relic. Evaluate based on deck needs.
Permafrost,PERMAFROST,B,Common Relic,Shared,shared,"The first time you play a Power each combat, gain [blue]6[/blue] [gold]Block[/gold].",Standard relic. Evaluate based on deck needs.
Petrified Toad,PETRIFIED_TOAD,B,Uncommon Relic,Shared,shared,"At the start of each combat, procure a [gold]Potion-Shaped Rock[/gold].",Standard relic. Evaluate based on deck needs.
Philosopher's Stone,PHILOSOPHERS_STONE,B,Ancient Relic,Shared,shared,Gain [energy:1] at the start of each turn. ALL enemies start combat with [blue]1[/blue] [gold]Strength[/gold].,Standard relic. Evaluate based on deck needs.
Phylactery Unbound,PHYLACTERY_UNBOUND,B,Starter Relic,Shared,necrobinder,"At the start of each combat, [gold]Summon[/gold] [blue]5[/blue]. At the start of your turn, [gold]Summon[/gold] [blue]2[/blue].",Standard relic. Evaluate based on deck needs.
Planisphere,PLANISPHERE,B,Uncommon Relic,Shared,shared,"Whenever you enter a [gold]?[/gold] room, heal [green]4[/green] HP.",Standard relic. Evaluate based on deck needs.
Pocketwatch,POCKETWATCH,B,Rare Relic,Shared,shared,"Whenever you play [blue]3[/blue] or fewer cards during your turn, draw [blue]3[/blue] additional cards at the start of your next turn.",Play 3 or fewer cards = draw 3 next turn. Draw reward.
Pollinous Core,POLLINOUS_CORE,B,Event Relic,Shared,shared,"Every [blue]4[/blue] turns, draw [blue]2[/blue] additional cards.",Standard relic. Evaluate based on deck needs.
Pomander,POMANDER,B,Ancient Relic,Shared,shared,"Upon pickup, [gold]Upgrade[/gold] a card.",Standard relic. Evaluate based on deck needs.
Potion Belt,POTION_BELT,B,Common Relic,Shared,shared,"Upon pickup, gain [blue]2[/blue] potion slots.",Standard relic. Evaluate based on deck needs.
Power Cell,POWER_CELL,B,Rare Relic,Shared,defect,"At the start of each combat, add [blue]2[/blue] zero-cost cards from your [gold]Draw Pile[/gold] into your [gold]Hand[/gold].",Standard relic. Evaluate based on deck needs.
Prayer Wheel,PRAYER_WHEEL,B,Rare Relic,Shared,shared,Normal enemies drop an additional card reward.,Standard relic. Evaluate based on deck needs.
Precarious Shears,PRECARIOUS_SHEARS,B,Ancient Relic,Shared,shared,"Upon pickup, remove [blue]2[/blue] cards from your [gold]Deck[/gold] and take [red]13[/red] damage.",Standard relic. Evaluate based on deck needs.
Precise Scissors,PRECISE_SCISSORS,B,Ancient Relic,Shared,shared,"Upon pickup, remove [blue]1[/blue] card from your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Preserved Fog,PRESERVED_FOG,B,Ancient Relic,Shared,shared,"Upon pickup, remove [blue]5[/blue] cards from your [gold]Deck[/gold]. Add [red]Folly[/red] to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Prismatic Gem,PRISMATIC_GEM,B,Ancient Relic,Shared,shared,Gain [energy:1] at the start of each turn. Card rewards now contain cards from other colors.,Standard relic. Evaluate based on deck needs.
Pumpkin Candle,PUMPKIN_CANDLE,B,Ancient Relic,Shared,shared,Gain [energy:1] at the start of each turn. Extinguishes at the start of [gold]Act[/gold] [blue]3[/blue].,Standard relic. Evaluate based on deck needs.
Punch Dagger,PUNCH_DAGGER,B,Shop Relic,Shared,shared,"Upon pickup, [gold]Enchant[/gold] an Attack with [purple]Momentum[/purple] [blue]5[/blue].",Standard relic. Evaluate based on deck needs.
Radiant Pearl,RADIANT_PEARL,B,Ancient Relic,Shared,shared,"At the start of each combat, add [blue]1[/blue] [gold]Luminesce[/gold] into your [gold]Hand[/gold].",Standard relic. Evaluate based on deck needs.
Rainbow Ring,RAINBOW_RING,B,Rare Relic,Shared,shared,"The first time you play an Attack, Skill, and Power each turn, gain [blue]1[/blue] [gold]Strength[/gold] and [blue]1[/blue] [gold]Dexterity[/gold].",Standard relic. Evaluate based on deck needs.
Razor Tooth,RAZOR_TOOTH,B,Rare Relic,Shared,shared,"Every time you play an Attack or Skill, [gold]Upgrade[/gold] it for the remainder of combat.",Standard relic. Evaluate based on deck needs.
Red Mask,RED_MASK,B,Uncommon Relic,Shared,shared,"At the start of each combat, apply [blue]1[/blue] [gold]Weak[/gold] to ALL enemies.",Standard relic. Evaluate based on deck needs.
Red Skull,RED_SKULL,B,Common Relic,Shared,ironclad,"While your HP is at or below [blue]50%[/blue], you have [blue]3[/blue] additional [gold]Strength[/gold].",Below 50% HP = +3 Strength. Reward for risk.
Regal Pillow,REGAL_PILLOW,B,Common Relic,Shared,shared,"Whenever you [gold]Rest[/gold], heal an additional [blue]15[/blue] HP.",Standard relic. Evaluate based on deck needs.
Regalite,REGALITE,B,Uncommon Relic,Shared,regent,"Whenever you create a Colorless card, gain [blue]2[/blue] [gold]Block[/gold].",Create Colorless = 2 Block. Forge build synergy.
Reptile Trinket,REPTILE_TRINKET,B,Uncommon Relic,Shared,shared,"Whenever you use a potion, gain [blue]3[/blue] [gold]Strength[/gold] this turn.",Standard relic. Evaluate based on deck needs.
Ring of the Drake,RING_OF_THE_DRAKE,S,Starter Relic,Shared,silent,"At the start of your first [blue]3[/blue] turns, draw [blue]2[/blue] additional cards.",Upgrade. Draw 2 extra first 3 turns. Massive early advantage.
Ring of the Snake,RING_OF_THE_SNAKE,A,Starter Relic,Shared,silent,"At the start of each combat, draw [blue]2[/blue] additional cards.",Starter. Draw 2 extra turn 1. Needs thin deck to shine.
Ringing Triangle,RINGING_TRIANGLE,S,Shop Relic,Shared,shared,[gold]Retain[/gold] your [gold]Hand[/gold] on the first turn of combat.,Retain hand turn 1. Eliminates opening variance.
Ripple Basin,RIPPLE_BASIN,B,Uncommon Relic,Shared,shared,"If you did not play any Attacks during your turn, gain [blue]4[/blue] [gold]Block[/gold].",Standard relic. Evaluate based on deck needs.
Royal Poison,ROYAL_POISON,B,Event Relic,Shared,shared,"At the start of each combat, lose [blue]4[/blue] HP.",Standard relic. Evaluate based on deck needs.
Royal Stamp,ROYAL_STAMP,B,Shop Relic,Shared,shared,"Upon pickup, choose an Attack or Skill in your [gold]Deck[/gold] to [gold]Enchant[/gold] with [purple][Enchantment][/purple].",Standard relic. Evaluate based on deck needs.
Ruined Helmet,RUINED_HELMET,A,Rare Relic,Shared,ironclad,"The first time you gain [gold]Strength[/gold] each combat, double the amount gained.",First Strength gain doubled. Strong with Inflame.
Runic Capacitor,RUNIC_CAPACITOR,S,Shop Relic,Shared,defect,Start each combat with [blue]3[/blue] additional [gold]Orb Slots[/gold].,+3 Orb slots. Essential Defect relic.
Runic Pyramid,RUNIC_PYRAMID,B,Ancient Relic,Shared,shared,"At the end of your turn, you no longer discard your [gold]Hand[/gold].",Standard relic. Evaluate based on deck needs.
Sai,SAI,B,Ancient Relic,Shared,shared,"At the start of your turn, gain [blue]7[/blue] [gold]Block[/gold].",Standard relic. Evaluate based on deck needs.
Sand Castle,SAND_CASTLE,B,Ancient Relic,Shared,shared,"Upon pickup, [gold]Upgrade[/gold] [blue]6[/blue] random cards.",Standard relic. Evaluate based on deck needs.
Screaming Flagon,SCREAMING_FLAGON,B,Shop Relic,Shared,shared,"If you end your turn with no cards in your [gold]Hand[/gold], deal [blue]20[/blue] damage to ALL enemies.",Standard relic. Evaluate based on deck needs.
Scroll Boxes,SCROLL_BOXES,B,Ancient Relic,Shared,shared,"Upon pickup, lose all [gold]Gold[/gold] and choose [blue]1[/blue] of [blue]2[/blue] packs of cards to add to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Sea Glass,SEA_GLASS,B,Ancient Relic,Shared,shared,See [blue]15[/blue] cards from another character. Choose any number of them to add to your [gold]Deck[/gold].,Standard relic. Evaluate based on deck needs.
Seal of Gold,SEAL_OF_GOLD,B,Ancient Relic,Shared,shared,"At the start of your turn, spend [blue]5[/blue] [gold]Gold[/gold] to gain [energy:1].",Standard relic. Evaluate based on deck needs.
Self-Forming Clay,SELF_FORMING_CLAY,S,Uncommon Relic,Shared,ironclad,"Whenever you lose HP in combat, gain [blue]3[/blue] [gold]Block[/gold] next turn.",Lose HP = gain 3 Block next turn. Synergizes with self-damage.
Sere Talon,SERE_TALON,B,Ancient Relic,Shared,shared,"Upon pickup, add [blue]2[/blue] random [red]Curses[/red] and [blue]3[/blue] [purple]Wishes[/purple] to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Shovel,SHOVEL,B,Rare Relic,Shared,shared,You can now dig at [gold]Rest Sites[/gold] to obtain a random [gold]Relic[/gold].,Rest = dig for relic. Relic generation.
Shuriken,SHURIKEN,A,Rare Relic,Shared,shared,"Every time you play [blue]3[/blue] Attacks in a single turn, gain [blue]1[/blue] [gold]Strength[/gold].",Play 3 attacks = +1 Strength. Attack-heavy scaling.
Signet Ring,SIGNET_RING,B,Ancient Relic,Shared,shared,"Upon pickup, gain [blue]999[/blue] [gold]Gold[/gold].",Standard relic. Evaluate based on deck needs.
Silver Crucible,SILVER_CRUCIBLE,B,Ancient Relic,Shared,shared,The first [blue]3[/blue] card rewards you see are [gold]Upgraded[/gold]. The first Treasure Chest you open is [red]empty[/red].,Standard relic. Evaluate based on deck needs.
Sling of Courage,SLING_OF_COURAGE,B,Shop Relic,Shared,shared,Start each [gold]Elite[/gold] combat with [blue]2[/blue] [gold]Strength[/gold].,+2 Strength in Elite fights. Elite-focused.
Small Capsule,SMALL_CAPSULE,B,Ancient Relic,Shared,shared,"Upon pickup, obtain a random [gold]Relic[/gold].",Standard relic. Evaluate based on deck needs.
Snecko Eye,SNECKO_EYE,B,Ancient Relic,Shared,shared,"At the start of your turn, draw [blue]2[/blue] additional cards. Start each combat [red]Confused[/red].",Standard relic. Evaluate based on deck needs.
Snecko Eye???,FAKE_SNECKO_EYE,B,Event Relic,Shared,shared,Start each combat [red]Confused[/red].,Standard relic. Evaluate based on deck needs.
Snecko Skull,SNECKO_SKULL,A,Common Relic,Shared,silent,"Whenever you apply [gold]Poison[/gold], apply an additional [blue]1[/blue] [gold]Poison[/gold].",Poison +1 extra. Doubles poison stacking rate.
Sozu,SOZU,B,Ancient Relic,Shared,shared,Gain [energy:1] at the start of each turn. You can no longer obtain potions.,Standard relic. Evaluate based on deck needs.
Sparkling Rouge,SPARKLING_ROUGE,B,Uncommon Relic,Shared,shared,"At the start of your [blue]3rd[/blue] turn, gain [blue]1[/blue] [gold]Strength[/gold] and [blue]1[/blue] [gold]Dexterity[/gold].",Standard relic. Evaluate based on deck needs.
Spiked Gauntlets,SPIKED_GAUNTLETS,B,Ancient Relic,Shared,shared,Gain [energy:1] at the start of each turn. Powers cost [blue]1[/blue] more [energy:1].,Standard relic. Evaluate based on deck needs.
Stone Calendar,STONE_CALENDAR,B,Rare Relic,Shared,shared,"At the end of turn [blue]7[/blue], deal [blue]52[/blue] damage to ALL enemies.",End turn 7+ = 52 damage to all. Long fight AoE.
Stone Cracker,STONE_CRACKER,B,Uncommon Relic,Shared,shared,"At the start of [gold]Boss[/gold] combats, [gold]Upgrade[/gold] [blue]3[/blue] random cards in your [gold]Draw Pile[/gold] for the rest of combat.",Standard relic. Evaluate based on deck needs.
Stone Humidifier,STONE_HUMIDIFIER,B,Ancient Relic,Shared,shared,"Whenever you [gold]Rest[/gold] at a [gold]Rest Site[/gold], raise your Max HP by [blue]5[/blue].",Standard relic. Evaluate based on deck needs.
Storybook,STORYBOOK,B,Ancient Relic,Shared,shared,"Upon pickup, add [blue]1[/blue] [gold]Brightest Flame[/gold] to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Strawberry,STRAWBERRY,B,Common Relic,Shared,shared,"Upon pickup, raise your Max HP by [blue]7[/blue].",Standard relic. Evaluate based on deck needs.
Strike Dummy,STRIKE_DUMMY,B,Common Relic,Shared,shared,Cards containing “Strike” deal [blue]3[/blue] additional damage.,Standard relic. Evaluate based on deck needs.
Strike Dummy???,FAKE_STRIKE_DUMMY,B,Event Relic,Shared,shared,Cards containing “Strike” deal [blue]1[/blue] additional damage.,Standard relic. Evaluate based on deck needs.
Sturdy Clamp,STURDY_CLAMP,B,Rare Relic,Shared,shared,Up to [blue]10[/blue] [gold]Block[/gold] persists across turns.,Standard relic. Evaluate based on deck needs.
Sword of Jade,SWORD_OF_JADE,B,Event Relic,Shared,shared,Start each combat with [blue]3[/blue] [gold]Strength[/gold].,Standard relic. Evaluate based on deck needs.
Sword of Stone,SWORD_OF_STONE,B,Event Relic,Shared,shared,Transforms into a powerful [gold]Relic[/gold] after defeating [blue]5[/blue] [gold]Elites[/gold].,Standard relic. Evaluate based on deck needs.
Symbiotic Virus,SYMBIOTIC_VIRUS,A,Uncommon Relic,Shared,defect,"At the start of each combat, [gold]Channel[/gold] [blue]1[/blue] [gold]Dark[/gold].",Channel 1 Dark at start. Dark scales over fight.
Tanx's Whistle,TANXS_WHISTLE,B,Ancient Relic,Shared,shared,"Upon pickup, add [blue]1[/blue] [gold]Whistle[/gold] to your [gold]Deck[/gold].",Standard relic. Evaluate based on deck needs.
Tea of Discourtesy,TEA_OF_DISCOURTESY,B,Event Relic,Shared,shared,"At the start of the next combat, shuffle [blue]2[/blue] [gold]Dazed[/gold] into your [gold]Draw Pile[/gold].",Standard relic. Evaluate based on deck needs.
The Abacus,THE_ABACUS,A,Shop Relic,Shared,shared,"Whenever you shuffle your [gold]Draw Pile[/gold], gain [blue]6[/blue] [gold]Block[/gold].",Shuffle = 6 Block. Free Block in thin decks.
The Boot,THE_BOOT,B,Event Relic,Shared,shared,"Whenever you would deal [blue]4[/blue] or less unblocked attack damage, increase it to [blue]5[/blue].",Standard relic. Evaluate based on deck needs.
The Chosen Cheese,CHOSEN_CHEESE,B,Event Relic,Shared,shared,"At the end of combat, gain [blue]1[/blue] Max HP.",Standard relic. Evaluate based on deck needs.
The Courier,THE_COURIER,B,Rare Relic,Shared,shared,"The merchant no longer runs out of cards, relics, or potions and his prices are reduced by [blue]20%[/blue].",Shop always has card removal. Helps thin deck.
The Merchant's Rug???,FAKE_MERCHANTS_RUG,B,Event Relic,Shared,shared,Poor imitation. Does nothing.,Standard relic. Evaluate based on deck needs.
Throwing Axe,THROWING_AXE,B,Ancient Relic,Shared,shared,The first card you play each combat is played an extra time.,Standard relic. Evaluate based on deck needs.
Tingsha,TINGSHA,S,Uncommon Relic,Shared,silent,"Whenever you discard a card during your turn, deal [blue]3[/blue] damage to a random enemy for each card discarded.",Discard = 3 damage per card. BROKEN in discard builds.
Tiny Mailbox,TINY_MAILBOX,B,Common Relic,Shared,shared,"Whenever you [gold]Rest[/gold], procure a random potion.",Standard relic. Evaluate based on deck needs.
Toasty Mittens,TOASTY_MITTENS,B,Ancient Relic,Shared,shared,"At the start of your turn, [gold]Exhaust[/gold] the top card of your [gold]Draw Pile[/gold] and gain [blue]1[/blue] [gold]Strength[/gold].",Standard relic. Evaluate based on deck needs.
Toolbox,TOOLBOX,B,Shop Relic,Shared,shared,"At the start of each combat, choose [blue]1[/blue] of [blue]3[/blue] random Colorless cards and add the chosen card into your [gold]Hand[/gold].",Turn 1 = pick 1 of 3 Colorless. Utility access.
Touch of Orobas,TOUCH_OF_OROBAS,B,Ancient Relic,Shared,shared,"Upon pickup, replace your starter [gold]Relic[/gold] with an [gold]Ancient[/gold] version.",Standard relic. Evaluate based on deck needs.
Tough Bandages,TOUGH_BANDAGES,S,Rare Relic,Shared,silent,"Whenever you discard a card during your turn, gain [blue]3[/blue] [gold]Block[/gold].",Discard = 3 Block per card. Pair with Tingsha = immortal.
Toxic Egg,TOXIC_EGG,B,Rare Relic,Shared,shared,"Whenever you add a Skill into your [gold]Deck[/gold], [gold]Upgrade[/gold] it.",Standard relic. Evaluate based on deck needs.
Toy Box,TOY_BOX,B,Ancient Relic,Shared,shared,"Upon pickup, obtain [blue]4[/blue] [gold]Wax Relics[/gold]. Every [blue]3[/blue] combats, your left-most [gold]Wax Relic[/gold] will melt away.",Standard relic. Evaluate based on deck needs.
Tri-Boomerang,TRI_BOOMERANG,B,Ancient Relic,Shared,shared,Choose [blue]3[/blue] Attacks in your [gold]Deck[/gold]. [gold]Enchant[/gold] them with [purple]Instinct[/purple].,Standard relic. Evaluate based on deck needs.
Tungsten Rod,TUNGSTEN_ROD,S,Rare Relic,Shared,shared,"Whenever you would lose HP, lose [blue]1[/blue] less.",Lose HP = lose 1 less. Incredible sustain.
Tuning Fork,TUNING_FORK,B,Uncommon Relic,Shared,shared,"Every time you play [blue]10[/blue] Skills, gain [blue]7[/blue] [gold]Block[/gold].",Standard relic. Evaluate based on deck needs.
Twisted Funnel,TWISTED_FUNNEL,B,Uncommon Relic,Shared,silent,"At the start of each combat, apply [blue]4[/blue] [gold]Poison[/gold] to ALL enemies.",4 Poison to all at start. Good in Poison builds only.
Unceasing Top,UNCEASING_TOP,A,Rare Relic,Shared,shared,"Whenever you have no cards in [gold]Hand[/gold] during your turn, draw a card.",Empty hand = draw 1. Infinite enabler.
Undying Sigil,UNDYING_SIGIL,S,Shop Relic,Shared,necrobinder,Enemies with at least as much [gold]Doom[/gold] as HP deal [blue]50%[/blue] less damage.,Doom >= HP enemies deal 50% less. MUST BUY as Necro.
Unsettling Lamp,UNSETTLING_LAMP,B,Rare Relic,Shared,shared,"Each combat, the first time you play a card that [gold]Debuffs[/gold] an enemy, double its effect.",Standard relic. Evaluate based on deck needs.
Vajra,VAJRA,B,Common Relic,Shared,shared,Start each combat with [blue]1[/blue] [gold]Strength[/gold].,+1 Strength. Simple offensive boost.
Vambrace,VAMBRACE,B,Uncommon Relic,Shared,shared,"The first time you gain [gold]Block[/gold] from a card each combat, double the amount gained.",Standard relic. Evaluate based on deck needs.
Velvet Choker,VELVET_CHOKER,D,Ancient Relic,Shared,shared,Gain [energy:1] at the start of each turn. You cannot play more than [blue]6[/blue] cards per turn.,TRAP: 6 card limit. Bricks combo decks. Avoid on Silent/Defect.
Venerable Tea Set,VENERABLE_TEA_SET,B,Common Relic,Shared,shared,"Whenever you enter a [gold]Rest Site[/gold], start the next combat with an additional [energy:2].",Standard relic. Evaluate based on deck needs.
Venerable Tea Set???,FAKE_VENERABLE_TEA_SET,B,Event Relic,Shared,shared,"Whenever you enter a [gold]Rest Site[/gold], start the next combat with an additional [energy:1].",Standard relic. Evaluate based on deck needs.
Very Hot Cocoa,VERY_HOT_COCOA,B,Ancient Relic,Shared,shared,Start each combat with an additional [blue][energy:4][/blue].,Standard relic. Evaluate based on deck needs.
Vexing Puzzlebox,VEXING_PUZZLEBOX,B,Rare Relic,Shared,shared,"At the start of each combat, add a random card into your [gold]Hand[/gold]. It costs [blue]0[/blue][energy:1].",Standard relic. Evaluate based on deck needs.
Vitruvian Minion,VITRUVIAN_MINION,S,Shop Relic,Shared,regent,Cards containing “Minion” deal double damage and gain double [gold]Block[/gold].,Minion cards 2x damage/block. Essential for Minion builds.
War Hammer,WAR_HAMMER,B,Ancient Relic,Shared,shared,"Whenever you kill an [gold]Elite[/gold], [gold]Upgrade[/gold] [blue]4[/blue] random cards.",Standard relic. Evaluate based on deck needs.
War Paint,WAR_PAINT,B,Common Relic,Shared,shared,"Upon pickup, [gold]Upgrade[/gold] [blue]2[/blue] random Skills.",Standard relic. Evaluate based on deck needs.
Whetstone,WHETSTONE,B,Common Relic,Shared,shared,"Upon pickup, [gold]Upgrade[/gold] [blue]2[/blue] random Attacks.",Upgrade 2 attacks on pickup. Immediate value.
Whispering Earring,WHISPERING_EARRING,B,Ancient Relic,Shared,shared,Gain [energy:1] at the start of each turn. [red]Vakuu plays your first turn for you.[/red],Standard relic. Evaluate based on deck needs.
White Beast Statue,WHITE_BEAST_STATUE,B,Rare Relic,Shared,shared,Potions always appear in combat rewards.,Standard relic. Evaluate based on deck needs.
White Star,WHITE_STAR,B,Rare Relic,Shared,shared,[gold]Elites[/gold] drop an additional [gold]Rare[/gold] card reward.,Standard relic. Evaluate based on deck needs.
Wing Charm,WING_CHARM,B,Shop Relic,Shared,shared,A random card in each card reward is [gold]Enchanted[/gold] with [purple]Swift[/purple] [blue]1[/blue].,Standard relic. Evaluate based on deck needs.
Wongo Customer Appreciation Badge,WONGO_CUSTOMER_APPRECIATION_BADGE,B,Event Relic,Shared,shared,Does nothing.,Standard relic. Evaluate based on deck needs.
Wongo's Mystery Ticket,WONGOS_MYSTERY_TICKET,B,Event Relic,Shared,shared,Receive [blue]3[/blue] random [gold]Relics[/gold] after [blue]5[/blue] combats.,Standard relic. Evaluate based on deck needs.
Yummy Cookie,YUMMY_COOKIE,B,Ancient Relic,Shared,shared,"Upon pickup, [gold]Upgrade[/gold] [blue]4[/blue] cards.",Standard relic. Evaluate based on deck needs.
