name,id,rarity,character,description,pool
Power Cell,POWER_CELL,Rare Relic,Shared,"At the start of each combat, add [blue]2[/blue] zero-cost cards from your [gold]Draw Pile[/gold] into your [gold]Hand[/gold].",defect
Prayer Wheel,PRAYER_WHEEL,Rare Relic,Shared,Normal enemies drop an additional card reward.,shared
Precarious Shears,PRECARIOUS_SHEARS,Ancient Relic,Shared,"Upon pickup, remove [blue]2[/blue] cards from your [gold]Deck[/gold] and take [red]13[/red] damage.",shared
Precise Scissors,PRECISE_SCISSORS,Ancient Relic,Shared,"Upon pickup, remove [blue]1[/blue] card from your [gold]Deck[/gold].",shared
Preserved Fog,PRESERVED_FOG,Ancient Relic,Shared,"Upon pickup, remove [blue]5[/blue] cards from your [gold]Deck[/gold]. Add [red]Folly[/red] to your [gold]Deck[/gold].",shared
Prismatic Gem,PRISMATIC_GEM,Ancient Relic,Shared,Gain [energy:1] at the start of each turn. Card rewards now contain cards from other colors.,shared
Pumpkin Candle,PUMPKIN_CANDLE,Ancient Relic,Shared,Gain [energy:1] at the start of each turn. Extinguishes at the start of [gold]Act[/gold] [blue]3[/blue].,shared
Punch Dagger,PUNCH_DAGGER,Shop Relic,Shared,"Upon pickup, [gold]Enchant[/gold] an Attack with [purple]Momentum[/purple] [blue]5[/blue].",shared
Radiant Pearl,RADIANT_PEARL,Ancient Relic,Shared,"At the start of each combat, add [blue]1[/blue] [gold]Luminesce[/gold] into your [gold]Hand[/gold].",shared
Rainbow Ring,RAINBOW_RING,Rare Relic,Shared,"The first time you play an Attack, Skill, and Power each turn, gain [blue]1[/blue] [gold]Strength[/gold] and [blue]1[/blue] [gold]Dexterity[/gold].",shared
Razor Tooth,RAZOR_TOOTH,Rare Relic,Shared,"Every time you play an Attack or Skill, [gold]Upgrade[/gold] it for the remainder of combat.",shared
Red Mask,RED_MASK,Uncommon Relic,Shared,"At the start of each combat, apply [blue]1[/blue] [gold]Weak[/gold] to ALL enemies.",shared
Red Skull,RED_SKULL,Common Relic,Shared,"While your HP is at or below [blue]50%[/blue], you have [blue]3[/blue] additional [gold]Strength[/gold].",ironclad
Regal Pillow,REGAL_PILLOW,Common Relic,Shared,"Whenever you [gold]Rest[/gold], heal an additional [blue]15[/blue] HP.",shared
Regalite,REGALITE,Uncommon Relic,Shared,"Whenever you create a Colorless card, gain [blue]2[/blue] [gold]Block[/gold].",regent
Reptile Trinket,REPTILE_TRINKET,Uncommon Relic,Shared,"Whenever you use a potion, gain [blue]3[/blue] [gold]Strength[/gold] this turn.",shared
Ring of the Drake,RING_OF_THE_DRAKE,Starter Relic,Shared,"At the start of your first [blue]3[/blue] turns, draw [blue]2[/blue] additional cards.",silent
Ring of the Snake,RING_OF_THE_SNAKE,Starter Relic,Shared,"At the start of each combat, draw [blue]2[/blue] additional cards.",silent
Ringing Triangle,RINGING_TRIANGLE,Shop Relic,Shared,[gold]Retain[/gold] your [gold]Hand[/gold] on the first turn of combat.,shared
Ripple Basin,RIPPLE_BASIN,Uncommon Relic,Shared,"If you did not play any Attacks during your turn, gain [blue]4[/blue] [gold]Block[/gold].",shared
Royal Poison,ROYAL_POISON,Event Relic,Shared,"At the start of each combat, lose [blue]4[/blue] HP.",shared
Royal Stamp,ROYAL_STAMP,Shop Relic,Shared,"Upon pickup, choose an Attack or Skill in your [gold]Deck[/gold] to [gold]Enchant[/gold] with [purple][Enchantment][/purple].",shared
Ruined Helmet,RUINED_HELMET,Rare Relic,Shared,"The first time you gain [gold]Strength[/gold] each combat, double the amount gained.",ironclad
Runic Capacitor,RUNIC_CAPACITOR,Shop Relic,Shared,Start each combat with [blue]3[/blue] additional [gold]Orb Slots[/gold].,defect
Runic Pyramid,RUNIC_PYRAMID,Ancient Relic,Shared,"At the end of your turn, you no longer discard your [gold]Hand[/gold].",shared
Sai,SAI,Ancient Relic,Shared,"At the start of your turn, gain [blue]7[/blue] [gold]Block[/gold].",shared
Sand Castle,SAND_CASTLE,Ancient Relic,Shared,"Upon pickup, [gold]Upgrade[/gold] [blue]6[/blue] random cards.",shared
Screaming Flagon,SCREAMING_FLAGON,Shop Relic,Shared,"If you end your turn with no cards in your [gold]Hand[/gold], deal [blue]20[/blue] damage to ALL enemies.",shared
Scroll Boxes,SCROLL_BOXES,Ancient Relic,Shared,"Upon pickup, lose all [gold]Gold[/gold] and choose [blue]1[/blue] of [blue]2[/blue] packs of cards to add to your [gold]Deck[/gold].",shared
Sea Glass,SEA_GLASS,Ancient Relic,Shared,See [blue]15[/blue] cards from another character. Choose any number of them to add to your [gold]Deck[/gold].,shared
Seal of Gold,SEAL_OF_GOLD,Ancient Relic,Shared,"At the start of your turn, spend [blue]5[/blue] [gold]Gold[/gold] to gain [energy:1].",shared
Self-Forming Clay,SELF_FORMING_CLAY,Uncommon Relic,Shared,"Whenever you lose HP in combat, gain [blue]3[/blue] [gold]Block[/gold] next turn.",ironclad
Sere Talon,SERE_TALON,Ancient Relic,Shared,"Upon pickup, add [blue]2[/blue] random [red]Curses[/red] and [blue]3[/blue] [purple]Wishes[/purple] to your [gold]Deck[/gold].",shared
Shovel,SHOVEL,Rare Relic,Shared,You can now dig at [gold]Rest Sites[/gold] to obtain a random [gold]Relic[/gold].,shared
Shuriken,SHURIKEN,Rare Relic,Shared,"Every time you play [blue]3[/blue] Attacks in a single turn, gain [blue]1[/blue] [gold]Strength[/gold].",shared
Signet Ring,SIGNET_RING,Ancient Relic,Shared,"Upon pickup, gain [blue]999[/blue] [gold]Gold[/gold].",shared
Silver Crucible,SILVER_CRUCIBLE,Ancient Relic,Shared,The first [blue]3[/blue] card rewards you see are [gold]Upgraded[/gold]. The first Treasure Chest you open is [red]empty[/red].,shared
Sling of Courage,SLING_OF_COURAGE,Shop Relic,Shared,Start each [gold]Elite[/gold] combat with [blue]2[/blue] [gold]Strength[/gold].,shared
Small Capsule,SMALL_CAPSULE,Ancient Relic,Shared,"Upon pickup, obtain a random [gold]Relic[/gold].",shared
Snecko Eye,SNECKO_EYE,Ancient Relic,Shared,"At the start of your turn, draw [blue]2[/blue] additional cards. Start each combat [red]Confused[/red].",shared
Snecko Eye???,FAKE_SNECKO_EYE,Event Relic,Shared,Start each combat [red]Confused[/red].,shared
Snecko Skull,SNECKO_SKULL,Common Relic,Shared,"Whenever you apply [gold]Poison[/gold], apply an additional [blue]1[/blue] [gold]Poison[/gold].",silent
Sozu,SOZU,Ancient Relic,Shared,Gain [energy:1] at the start of each turn. You can no longer obtain potions.,shared
Sparkling Rouge,SPARKLING_ROUGE,Uncommon Relic,Shared,"At the start of your [blue]3rd[/blue] turn, gain [blue]1[/blue] [gold]Strength[/gold] and [blue]1[/blue] [gold]Dexterity[/gold].",shared
Spiked Gauntlets,SPIKED_GAUNTLETS,Ancient Relic,Shared,Gain [energy:1] at the start of each turn. Powers cost [blue]1[/blue] more [energy:1].,shared
Stone Calendar,STONE_CALENDAR,Rare Relic,Shared,"At the end of turn [blue]7[/blue], deal [blue]52[/blue] damage to ALL enemies.",shared
Stone Cracker,STONE_CRACKER,Uncommon Relic,Shared,"At the start of [gold]Boss[/gold] combats, [gold]Upgrade[/gold] [blue]3[/blue] random cards in your [gold]Draw Pile[/gold] for the rest of combat.",shared
Stone Humidifier,STONE_HUMIDIFIER,Ancient Relic,Shared,"Whenever you [gold]Rest[/gold] at a [gold]Rest Site[/gold], raise your Max HP by [blue]5[/blue].",shared
Storybook,STORYBOOK,Ancient Relic,Shared,"Upon pickup, add [blue]1[/blue] [gold]Brightest Flame[/gold] to your [gold]Deck[/gold].",shared
Strawberry,STRAWBERRY,Common Relic,Shared,"Upon pickup, raise your Max HP by [blue]7[/blue].",shared
Strike Dummy,STRIKE_DUMMY,Common Relic,Shared,Cards containing “Strike” deal [blue]3[/blue] additional damage.,shared
Strike Dummy???,FAKE_STRIKE_DUMMY,Event Relic,Shared,Cards containing “Strike” deal [blue]1[/blue] additional damage.,shared
Sturdy Clamp,STURDY_CLAMP,Rare Relic,Shared,Up to [blue]10[/blue] [gold]Block[/gold] persists across turns.,shared
Sword of Jade,SWORD_OF_JADE,Event Relic,Shared,Start each combat with [blue]3[/blue] [gold]Strength[/gold].,shared
Sword of Stone,SWORD_OF_STONE,Event Relic,Shared,Transforms into a powerful [gold]Relic[/gold] after defeating [blue]5[/blue] [gold]Elites[/gold].,shared
Symbiotic Virus,SYMBIOTIC_VIRUS,Uncommon Relic,Shared,"At the start of each combat, [gold]Channel[/gold] [blue]1[/blue] [gold]Dark[/gold].",defect
Tanx's Whistle,TANXS_WHISTLE,Ancient Relic,Shared,"Upon pickup, add [blue]1[/blue] [gold]Whistle[/gold] to your [gold]Deck[/gold].",shared
Tea of Discourtesy,TEA_OF_DISCOURTESY,Event Relic,Shared,"At the start of the next combat, shuffle [blue]2[/blue] [gold]Dazed[/gold] into your [gold]Draw Pile[/gold].",shared
The Abacus,THE_ABACUS,Shop Relic,Shared,"Whenever you shuffle your [gold]Draw Pile[/gold], gain [blue]6[/blue] [gold]Block[/gold].",shared
The Boot,THE_BOOT,Event Relic,Shared,"Whenever you would deal [blue]4[/blue] or less unblocked attack damage, increase it to [blue]5[/blue].",shared
The Chosen Cheese,CHOSEN_CHEESE,Event Relic,Shared,"At the end of combat, gain [blue]1[/blue] Max HP.",shared
The Courier,THE_COURIER,Rare Relic,Shared,"The merchant no longer runs out of cards, relics, or potions and his prices are reduced by [blue]20%[/blue].",shared
The Merchant's Rug???,FAKE_MERCHANTS_RUG,Event Relic,Shared,Poor imitation. Does nothing.,shared
Throwing Axe,THROWING_AXE,Ancient Relic,Shared,The first card you play each combat is played an extra time.,shared
Tingsha,TINGSHA,Uncommon Relic,Shared,"Whenever you discard a card during your turn, deal [blue]3[/blue] damage to a random enemy for each card discarded.",silent
Tiny Mailbox,TINY_MAILBOX,Common Relic,Shared,"Whenever you [gold]Rest[/gold], procure a random potion.",shared
Toasty Mittens,TOASTY_MITTENS,Ancient Relic,Shared,"At the start of your turn, [gold]Exhaust[/gold] the top card of your [gold]Draw Pile[/gold] and gain [blue]1[/blue] [gold]Strength[/gold].",shared
Toolbox,TOOLBOX,Shop Relic,Shared,"At the start of each combat, choose [blue]1[/blue] of [blue]3[/blue] random Colorless cards and add the chosen card into your [gold]Hand[/gold].",shared
Touch of Orobas,TOUCH_OF_OROBAS,Ancient Relic,Shared,"Upon pickup, replace your starter [gold]Relic[/gold] with an [gold]Ancient[/gold] version.",shared
Tough Bandages,TOUGH_BANDAGES,Rare Relic,Shared,"Whenever you discard a card during your turn, gain [blue]3[/blue] [gold]Block[/gold].",silent
Toxic Egg,TOXIC_EGG,Rare Relic,Shared,"Whenever you add a Skill into your [gold]Deck[/gold], [gold]Upgrade[/gold] it.",shared
Toy Box,TOY_BOX,Ancient Relic,Shared,"Upon pickup, obtain [blue]4[/blue] [gold]Wax Relics[/gold]. Every [blue]3[/blue] combats, your left-most [gold]Wax Relic[/gold] will melt away.",shared
Tri-Boomerang,TRI_BOOMERANG,Ancient Relic,Shared,Choose [blue]3[/blue] Attacks in your [gold]Deck[/gold]. [gold]Enchant[/gold] them with [purple]Instinct[/purple].,shared
Tungsten Rod,TUNGSTEN_ROD,Rare Relic,Shared,"Whenever you would lose HP, lose [blue]1[/blue] less.",shared
Tuning Fork,TUNING_FORK,Uncommon Relic,Shared,"Every time you play [blue]10[/blue] Skills, gain [blue]7[/blue] [gold]Block[/gold].",shared
Twisted Funnel,TWISTED_FUNNEL,Uncommon Relic,Shared,"At the start of each combat, apply [blue]4[/blue] [gold]Poison[/gold] to ALL enemies.",silent
Unceasing Top,UNCEASING_TOP,Rare Relic,Shared,"Whenever you have no cards in [gold]Hand[/gold] during your turn, draw a card.",shared
Undying Sigil,UNDYING_SIGIL,Shop Relic,Shared,Enemies with at least as much [gold]Doom[/gold] as HP deal [blue]50%[/blue] less damage.,necrobinder
Unsettling Lamp,UNSETTLING_LAMP,Rare Relic,Shared,"Each combat, the first time you play a card that [gold]Debuffs[/gold] an enemy, double its effect.",shared
Vajra,VAJRA,Common Relic,Shared,Start each combat with [blue]1[/blue] [gold]Strength[/gold].,shared
Vambrace,VAMBRACE,Uncommon Relic,Shared,"The first time you gain [gold]Block[/gold] from a card each combat, double the amount gained.",shared
Velvet Choker,VELVET_CHOKER,Ancient Relic,Shared,Gain [energy:1] at the start of each turn. You cannot play more than [blue]6[/blue] cards per turn.,shared
Venerable Tea Set,VENERABLE_TEA_SET,Common Relic,Shared,"Whenever you enter a [gold]Rest Site[/gold], start the next combat with an additional [energy:2].",shared
Venerable Tea Set???,FAKE_VENERABLE_TEA_SET,Event Relic,Shared,"Whenever you enter a [gold]Rest Site[/gold], start the next combat with an additional [energy:1].",shared
Very Hot Cocoa,VERY_HOT_COCOA,Ancient Relic,Shared,Start each combat with an additional [blue][energy:4][/blue].,shared
Vexing Puzzlebox,VEXING_PUZZLEBOX,Rare Relic,Shared,"At the start of each combat, add a random card into your [gold]Hand[/gold]. It costs [blue]0[/blue][energy:1].",shared
Vitruvian Minion,VITRUVIAN_MINION,Shop Relic,Shared,Cards containing “Minion” deal double damage and gain double [gold]Block[/gold].,regent
War Hammer,WAR_HAMMER,Ancient Relic,Shared,"Whenever you kill an [gold]Elite[/gold], [gold]Upgrade[/gold] [blue]4[/blue] random cards.",shared
War Paint,WAR_PAINT,Common Relic,Shared,"Upon pickup, [gold]Upgrade[/gold] [blue]2[/blue] random Skills.",shared
Whetstone,WHETSTONE,Common Relic,Shared,"Upon pickup, [gold]Upgrade[/gold] [blue]2[/blue] random Attacks.",shared
Whispering Earring,WHISPERING_EARRING,Ancient Relic,Shared,Gain [energy:1] at the start of each turn. [red]Vakuu plays your first turn for you.[/red],shared
White Beast Statue,WHITE_BEAST_STATUE,Rare Relic,Shared,Potions always appear in combat rewards.,shared
White Star,WHITE_STAR,Rare Relic,Shared,[gold]Elites[/gold] drop an additional [gold]Rare[/gold] card reward.,shared
Wing Charm,WING_CHARM,Shop Relic,Shared,A random card in each card reward is [gold]Enchanted[/gold] with [purple]Swift[/purple] [blue]1[/blue].,shared
Wongo Customer Appreciation Badge,WONGO_CUSTOMER_APPRECIATION_BADGE,Event Relic,Shared,Does nothing.,shared
Wongo's Mystery Ticket,WONGOS_MYSTERY_TICKET,Event Relic,Shared,Receive [blue]3[/blue] random [gold]Relics[/gold] after [blue]5[/blue] combats.,shared
Yummy Cookie,YUMMY_COOKIE,Ancient Relic,Shared,"Upon pickup, [gold]Upgrade[/gold] [blue]4[/blue] cards.",shared
